Freq/Channel,Start,Stop,Min Amp,Peak Amp,CFAR Low,CFAR High,message start
14,639218752193141,639218752202724,15609,28445,139,339,639218752193141.0
40,639218752207338,639218752216422,16597,26946,97,290,639218752193141.0
2,639218752219687,639218752229104,18374,26044,101,297,639218752193141.0
15,639218752232391,639218752241641,17659,25884,279,475,639218752193141.0
25,639218752245755,639218752255422,18097,26366,97,300,639218752193141.0
3,639218752258937,639218752267771,19453,25084,104,290,639218752193141.0
24,639218752271922,639218752281255,17085,26995,139,335,639218752193141.0
36,639218752285005,639218752294255,18804,27193,90,283,639218752193141.0
25,639218752297838,639218752307338,17690,26892,101,300,639218752193141.0
3,639218752310604,639218752319854,17239,26957,87,283,639218752193141.0
24,639218752323922,639218752333255,17607,26740,122,318,639218752193141.0
36,639218752336922,639218752346172,16300,28135,83,276,639218752193141.0
14,639218752349224,639218752358724,16679,26923,132,332,639218752193141.0
40,639218752363255,639218752372255,16811,26780,97,286,639218752193141.0
2,639218752375604,639218752385104,18672,28223,108,307,639218752193141.0
15,639218752388641,639218752397724,17673,28072,332,524,639218752193141.0
2,639218752401687,639218752410854,18626,26981,108,300,639218752193141.0
15,639218752414557,639218752423391,17796,27382,325,510,639218752193141.0
25,639218752427838,639218752437255,15861,27743,90,286,639218752193141.0
3,639218752440604,639218752449937,17481,26636,108,304,639218752193141.0
24,639218752454005,639218752463422,20207,24888,129,325,639218752193141.0
36,639218752467005,639218752476255,20380,24987,76,272,639218752193141.0
14,639218752479057,639218752488724,16192,25820,122,325,639218752193141.0
40,639218752493588,639218752502172,17992,25881,104,283,639218752193141.0
24,639218752505672,639218752515338,17219,29239,94,297,639218752193141.0
36,639218752518922,639218752528172,19783,26281,83,276,639218752193141.0
14,639218752531307,639218752540724,18482,25760,118,314,639218752193141.0
40,639218752545172,639218752554172,17640,27456,97,286,639218752193141.0
2,639218752557771,639218752567104,18697,28393,83,279,639218752193141.0
15,639218752570391,639218752579391,19420,25896,262,451,639218752193141.0
25,639218752583755,639218752593422,16145,27049,80,283,639218752193141.0
3,639218752596687,639218752606104,18633,26057,104,304,639218752193141.0
24,639218752610672,639218752619422,16456,28140,143,325,639218752193141.0
48,639218752622838,639218752632172,16511,27722,59,255,639218752193141.0
10,639218752635771,639218752645104,19422,26918,174,370,639218752193141.0
35,639218752649005,639218752658172,18722,26996,80,272,639218752193141.0
50,639218752662088,639218752671005,18997,25374,108,297,639218752193141.0
18,639218752674474,639218752683807,18092,26006,195,391,639218752193141.0
38,639218752688005,639218752697172,17067,27679,80,272,639218752193141.0
50,639218752701588,639218752710172,18233,25417,122,304,639218752193141.0
16,639218752713224,639218752722891,17019,26414,94,297,639218752193141.0
35,639218752727005,639218752736172,19927,27019,94,286,639218752193141.0
9,639218752739604,639218752748771,17928,27659,108,300,639218752193141.0
33,639218752753588,639218752762255,17324,28214,125,307,639218752193141.0
2,639218752766271,639218752774771,18613,26911,108,286,639218752193141.0
12,639218752778604,639218752787771,18819,25895,118,311,639218752193141.0
34,639218752792588,639218752801338,17102,28638,97,279,639218752193141.0
48,639218752805255,639218752814172,19649,26038,108,297,639218752193141.0
12,639218752817687,639218752826771,18158,27021,181,370,639218752193141.0
22,639218752830838,639218752840338,18824,24775,104,304,639218752193141.0
36,639218752844005,639218752853172,16663,27394,80,272,639218752193141.0
1,639218752856771,639218752865771,18287,26585,143,332,639218752193141.0
11,639218752869521,639218752878771,18587,25272,111,304,639218752193141.0
33,639218752883005,639218752892255,16788,25826,87,279,639218752193141.0
7,639218752895604,639218752905104,16021,26910,101,300,639218752193141.0
18,639218752908224,639218752917391,18442,25986,129,321,639218752193141.0
41,639218752922005,639218752931338,17236,27936,76,272,639218752193141.0
4,639218752934687,639218752943771,16819,28059,111,304,639218752193141.0
26,639218752947922,639218752957422,17705,28257,90,290,639218752193141.0
0,639218752960521,639218752969937,17420,27740,104,300,639218752193141.0
15,639218752973557,639218752982641,20294,26760,248,440,639218752193141.0
26,639218752987005,639218752996422,19723,26295,101,300,639218752193141.0
46,639218753000005,639218753009005,18074,27379,101,290,639218752193141.0
16,639218753012057,639218753021724,18797,27396,80,283,639218752193141.0
34,639218753026588,639218753035338,16261,29105,94,279,639218752193141.0
7,639218753038521,639218753047854,18596,27206,108,304,639218752193141.0
28,639218753051922,639218753061338,16664,26409,90,290,639218752193141.0
47,639218753065588,639218753074172,15250,28355,108,290,639218752193141.0
16,639218753076974,639218753086724,18834,25513,83,290,639218752193141.0
38,639218753091088,639218753100005,18189,25760,97,283,639218752193141.0
4,639218753103687,639218753112854,18027,27706,132,325,639218752193141.0
17,639218753116557,639218753125391,17835,27044,195,381,639218752193141.0
28,639218753129838,639218753139422,17942,26357,87,290,639218752193141.0
46,639218753143005,639218753152005,18239,27853,90,279,639218752193141.0
12,639218753155687,639218753164854,17876,27303,115,307,639218752193141.0
32,639218753169005,639218753178255,18423,25759,104,300,639218752193141.0
0,639218753181687,639218753190771,20103,25465,118,307,639218752193141.0
16,639218753194141,639218753203807,17715,27226,101,304,639218752193141.0
41,639218753208588,639218753217172,17198,28794,143,325,639218752193141.0
11,639218753220604,639218753229771,15808,25255,97,290,639218752193141.0
24,639218753233838,639218753243422,20305,25704,97,297,639218752193141.0
39,639218753247005,639218753256255,17256,25935,90,286,639218752193141.0
13,639218753259604,639218753269104,16780,25417,136,335,639218752193141.0
29,639218753273005,639218753282422,17321,28990,94,293,639218752193141.0
41,639218753286088,639218753295255,17764,27300,83,276,639218752193141.0
8,639218753298437,639218753307854,17747,28159,104,304,639218752193141.0
30,639218753311922,639218753321422,19285,24948,87,286,639218752193141.0
1,639218753324937,639218753333771,16528,26851,125,311,639218752193141.0
13,639218753337604,639218753347104,18247,26380,122,321,639218752193141.0
30,639218753350755,639218753360255,16416,27081,83,283,639218752193141.0
42,639218753364172,639218753373255,17254,26058,90,283,639218752193141.0
9,639218753376521,639218753386104,19252,26523,94,293,639218752193141.0
30,639218753389922,639218753399255,17075,26114,87,283,639218752193141.0
41,639218753403172,639218753412172,17324,26453,101,290,639218752193141.0
6,639218753415604,639218753424771,17688,27988,108,300,639218752193141.0
24,639218753428838,639218753438338,17460,26399,111,311,639218752193141.0
46,639218753442588,639218753451338,17951,26827,101,286,639218752193141.0
20,639218753454755,639218753464422,16629,26637,97,300,639218752193141.0
43,639218753468005,639218753477172,16359,25657,97,290,639218752193141.0
9,639218753480521,639218753490104,18841,26133,108,311,639218752193141.0
24,639218753493755,639218753503338,16360,29347,83,286,639218752193141.0
44,639218753507172,639218753516255,15876,27825,90,283,639218752193141.0
7,639218753519604,639218753528771,15703,28224,104,297,639218752193141.0
27,639218753532922,639218753542172,16632,27807,108,304,639218752193141.0
38,639218753546005,639218753555172,16229,26902,97,290,639218752193141.0
5,639218753558604,639218753567854,18434,26995,108,304,639218752193141.0
29,639218753571922,639218753581422,16331,28819,90,290,639218752193141.0
3,639218753584687,639218753593771,18633,25725,115,304,639218752193141.0
20,639218753597922,639218753607422,19089,24802,143,342,639218752193141.0
45,639218753611005,639218753620172,19295,26251,104,297,639218752193141.0
16,639218753623141,639218753632891,20054,26082,97,300,639218752193141.0
37,639218753637255,639218753646172,16957,26375,125,311,639218752193141.0
0,639218753649604,639218753658937,20024,26161,125,321,639218752193141.0
23,639218753662922,639218753672422,18801,25640,115,314,639218752193141.0
36,639218753676005,639218753685172,15804,26951,94,286,639218752193141.0
8,639218753688437,639218753697854,18844,25949,94,293,639218752193141.0
18,639218753701224,639218753710391,15826,27044,111,304,639218752193141.0
31,639218753715005,639218753724255,17536,28428,87,279,639218752193141.0
50,639218753728005,639218753737172,15730,26280,108,300,639218752193141.0
22,639218753740922,639218753750422,17180,25657,101,300,639218752193141.0
45,639218753754005,639218753763338,16611,26359,76,272,639218752193141.0
16,639218753766224,639218753775724,17989,27991,101,300,639218752193141.0
27,639218753779838,639218753789338,17482,28140,76,276,639218752193141.0
37,639218753792922,639218753802005,18688,25573,66,258,639218752193141.0
3,639218753805771,639218753815104,18046,26134,97,293,639218752193141.0
18,639218753818557,639218753827641,17824,26627,223,412,639218752193141.0
41,639218753832005,639218753841172,16965,28143,80,272,639218752193141.0
15,639218753844641,639218753853557,18990,26706,279,465,639218752193141.0
25,639218753857922,639218753867422,18794,25142,104,304,639218752193141.0
43,639218753870838,639218753880338,14707,28976,76,276,639218752193141.0
7,639218753883604,639218753893104,17809,25196,104,304,639218752193141.0
24,639218753896838,639218753906422,16869,28372,97,300,639218752193141.0
48,639218753910005,639218753919005,18313,26893,90,279,639218752193141.0
16,639218753922141,639218753931391,18239,27898,104,297,639218752193141.0
36,639218753935838,639218753945172,17725,27460,80,276,639218752193141.0
3,639218753948687,639218753957854,17790,25582,104,297,639218752193141.0
21,639218753961922,639218753971422,18826,26545,122,321,639218752193141.0
32,639218753974922,639218753984422,18326,27093,90,290,639218752193141.0
1,639218753987521,639218753996771,17006,26599,125,321,639218752193141.0
11,639218754000521,639218754010104,19534,25471,108,307,639218752193141.0
35,639218754014005,639218754023255,17784,27739,90,283,639218752193141.0
1,639218754026771,639218754035771,15639,28545,115,304,639218752193141.0
21,639218754039838,639218754049338,19153,27634,139,339,639218752193141.0
45,639218754052922,639218754062172,18056,25929,80,272,639218752193141.0
4,639218754065771,639218754075104,18394,28454,125,321,639218752193141.0
25,639218754079088,639218754088422,17538,25554,132,328,639218752193141.0
44,639218754092005,639218754101338,18479,27182,83,279,639218752193141.0
7,639218754104604,639218754114104,17655,28227,104,304,639218752193141.0
26,639218754118005,639218754127338,16808,26391,104,300,639218752193141.0
43,639218754131172,639218754140172,16584,27058,115,304,639218752193141.0
9,639218754143604,639218754152854,19265,27047,108,304,639218752193141.0
33,639218754157338,639218754166172,16307,27796,101,286,639218752193141.0
46,639218754170255,639218754179172,18658,26435,80,269,639218752193141.0
10,639218754182687,639218754191937,16704,29081,129,321,639218752193141.0
31,639218754196005,639218754205255,17540,27264,90,283,639218752193141.0
42,639218754209588,639218754218172,15461,27372,101,283,639218752193141.0
7,639218754221604,639218754231021,17805,25586,87,286,639218752193141.0
18,639218754234307,639218754243391,15860,27286,125,318,639218752193141.0
39,639218754248005,639218754257172,16496,28259,87,279,639218752193141.0
4,639218754260854,639218754270021,19096,26986,125,318,639218752193141.0
19,639218754274672,639218754283422,18931,26900,157,339,639218752193141.0
38,639218754287005,639218754296005,19665,25618,87,276,639218752193141.0
9,639218754299521,639218754308687,16573,27026,94,286,639218752193141.0
19,639218754313672,639218754322255,16640,27848,108,290,639218752193141.0
42,639218754326588,639218754335255,17808,27305,101,283,639218752193141.0
11,639218754338604,639218754347771,15820,27485,115,307,639218752193141.0
28,639218754351922,639218754361338,18853,26652,97,297,639218752193141.0
0,639218754365437,639218754373854,16930,28256,122,297,639218752193141.0
23,639218754377922,639218754387422,18211,25873,132,332,639218752193141.0
34,639218754391005,639218754400422,20412,25078,69,265,639218752193141.0
3,639218754403687,639218754413104,16210,27151,115,314,639218752193141.0
19,639218754417672,639218754426255,17982,27110,139,321,639218752193141.0
39,639218754430005,639218754439172,18268,26933,90,283,639218752193141.0
9,639218754442604,639218754452187,18301,26196,90,290,639218752193141.0
22,639218754455838,639218754465338,16147,28194,101,300,639218752193141.0
43,639218754469172,639218754478172,19743,25540,83,272,639218752193141.0
12,639218754481604,639218754490854,17839,26040,108,300,639218752193141.0
27,639218754494922,639218754504255,17004,26855,94,290,639218752193141.0
0,639218754507771,639218754516771,17897,26472,122,311,639218752193141.0
11,639218754520437,639218754530187,18411,26882,108,311,639218752193141.0
27,639218754534005,639218754543338,15404,28303,108,304,639218752193141.0
41,639218754547005,639218754556255,18617,27616,94,290,639218752193141.0
10,639218754559521,639218754569187,19298,27234,90,293,639218752193141.0
29,639218754572922,639218754582255,17415,28546,90,286,639218752193141.0
49,639218754586172,639218754595005,17608,26541,118,304,639218752193141.0
10,639218754598854,639218754607854,17875,27945,132,321,639218752193141.0
26,639218754612005,639218754621255,16553,27826,87,279,639218752193141.0
42,639218754625588,639218754634172,17094,27299,108,290,639218752193141.0
11,639218754637604,639218754646854,16502,25508,111,304,639218752193141.0
34,639218754650922,639218754660255,18950,26792,76,272,639218752193141.0
8,639218754664854,639218754671437,584,1273,111,248,639218752193141.0
6,639218754663521,639218754672854,18039,27619,97,293,639218752193141.0
19,639218754676922,639218754686422,16642,28719,132,332,639218752193141.0
44,639218754690005,639218754699255,16527,28726,94,290,639218752193141.0
14,639218754702141,639218754711724,19142,25911,111,311,639218752193141.0
32,639218754716088,639218754725255,16133,25984,122,314,639218752193141.0
45,639218754729005,639218754738255,17894,27072,90,286,639218752193141.0
12,639218754741687,639218754750854,16814,27530,146,339,639218752193141.0
35,639218754755088,639218754764172,17521,28449,83,276,639218752193141.0
45,639218754768005,639218754777172,17694,26294,76,269,639218752193141.0
19,639218754781672,639218754790422,17922,28197,157,342,639218752193141.0
43,639218754794255,639218754803255,18879,27281,87,276,639218752193141.0
5,639218754806687,639218754815771,16028,27774,104,297,639218752193141.0
21,639218754819838,639218754829422,18365,26947,125,328,639218752193141.0
35,639218754832838,639218754842255,20035,26685,73,272,639218752193141.0
8,639218754845604,639218754855104,16113,27113,118,318,639218752193141.0
26,639218754858755,639218754868255,18005,27079,73,272,639218752193141.0
49,639218754871922,639218754881338,16918,26826,76,276,639218752193141.0
17,639218754884224,639218754893391,18369,26088,108,300,639218752193141.0
38,639218754898172,639218754907172,18677,26143,69,258,639218752193141.0
1,639218754910687,639218754919937,19859,25857,136,332,639218752193141.0
14,639218754923391,639218754932891,17445,27060,111,311,639218752193141.0
39,639218754936922,639218754946172,17285,27051,83,279,639218752193141.0
4,639218754949687,639218754959104,18461,26995,111,311,639218752193141.0
29,639218754963005,639218754972255,16491,28609,83,279,639218752193141.0
50,639218754976172,639218754985172,17115,26795,118,307,639218752193141.0
20,639218754989088,639218754998338,17846,27222,230,426,639218752193141.0
38,639218755002005,639218755011255,17468,27047,83,279,639218752193141.0
1,639218755014771,639218755023937,17242,26717,136,328,639218752193141.0
12,639218755027771,639218755037104,19919,25662,111,307,639218752193141.0
28,639218755041005,639218755050255,19201,25072,83,276,639218752193141.0
2,639218755053687,639218755063104,19924,25884,97,297,639218752193141.0
27,639218755066838,639218755076255,18203,27048,83,279,639218752193141.0
48,639218755080005,639218755089172,16252,26359,97,290,639218752193141.0
13,639218755092771,639218755102104,19131,26290,167,363,639218752193141.0
36,639218755105838,639218755115172,15799,26646,66,262,639218752193141.0
3,639218755118771,639218755127771,16655,25742,83,272,639218752193141.0
21,639218755131838,639218755141422,17682,27068,101,300,639218752193141.0
43,639218755145005,639218755154338,16803,28072,87,283,639218752193141.0
8,639218755157604,639218755167104,17588,27272,94,293,639218752193141.0
28,639218755170838,639218755180172,15980,27367,87,283,639218752193141.0
46,639218755184005,639218755193255,17742,28036,97,293,639218752193141.0
14,639218755196057,639218755205391,16382,28414,111,307,639218752193141.0
26,639218755210005,639218755219422,18458,26239,104,304,639218752193141.0
47,639218755223005,639218755232172,17055,27926,69,262,639218752193141.0
8,639218755235687,639218755245104,18295,29119,157,356,639218752193141.0
32,639218755248672,639218755258338,17956,27640,76,279,639218752193141.0
2,639218755261771,639218755270854,19978,27625,108,300,639218752193141.0
21,639218755274755,639218755284338,19066,25669,104,307,639218752193141.0
43,639218755287922,639218755297172,16557,28610,83,276,639218752193141.0
15,639218755300557,639218755309391,17795,28567,237,423,639218752193141.0
