Freq/Channel,Start,Stop,Min Amp,Peak Amp,CFAR Low,CFAR High,message start
14,639218752193141,639218752202724,15609,28445,139,339,639218752193141.0
15,639218752193891,639218752203224,5265,17569,346,542,0.0
42,639218752208088,639218752214505,310,1290,104,237,0.0
38,639218752208088,639218752215338,301,1185,104,255,0.0
39,639218752206755,639218752216088,1581,17070,87,283,0.0
40,639218752207338,639218752216422,16597,26946,97,290,639218752193141.0
41,639218752207422,639218752216755,857,16379,111,307,0.0
1,639218752219187,639218752226521,4722,21339,94,248,0.0
4,639218752220604,639218752227854,266,1219,122,276,0.0
2,639218752219687,639218752229104,18374,26044,101,297,639218752193141.0
3,639218752220271,639218752229521,880,15836,104,297,0.0
14,639218752232057,639218752238641,3886,23689,167,304,0.0
15,639218752232391,639218752241641,17659,25884,279,475,639218752193141.0
16,639218752232391,639218752242307,482,17556,97,304,0.0
24,639218752245338,639218752255088,501,17606,76,283,0.0
25,639218752245755,639218752255422,18097,26366,97,300,639218752193141.0
26,639218752246172,639218752255838,954,20870,80,283,0.0
3,639218752258937,639218752267771,19453,25084,104,290,639218752193141.0
4,639218752259187,639218752268521,3706,24070,122,318,0.0
26,639218752273172,639218752279505,256,1216,171,304,0.0
23,639218752271755,639218752280255,265,12886,122,300,0.0
24,639218752271922,639218752281255,17085,26995,139,335,639218752193141.0
25,639218752272172,639218752281672,3512,11747,174,374,0.0
34,639218752286088,639218752293505,538,1317,90,244,0.0
35,639218752284672,639218752294255,874,18237,76,276,0.0
36,639218752285005,639218752294255,18804,27193,90,283,639218752193141.0
37,639218752285005,639218752294672,1510,17572,62,265,0.0
24,639218752297588,639218752304005,323,16855,101,234,0.0
23,639218752298755,639218752306588,291,1330,118,283,0.0
25,639218752297838,639218752307338,17690,26892,101,300,639218752193141.0
26,639218752297922,639218752307755,225,17997,90,297,0.0
3,639218752310604,639218752319854,17239,26957,87,283,639218752193141.0
2,639218752310437,639218752320021,884,16799,108,307,0.0
4,639218752310937,639218752320437,905,19601,111,311,0.0
25,639218752324172,639218752330588,5144,19789,181,314,0.0
23,639218752323672,639218752332505,3502,16054,115,300,0.0
24,639218752323922,639218752333255,17607,26740,122,318,639218752193141.0
36,639218752336922,639218752346172,16300,28135,83,276,639218752193141.0
35,639218752336672,639218752346255,5128,15842,73,276,0.0
37,639218752337172,639218752346755,1228,13817,87,290,0.0
16,639218752350057,639218752357057,477,1251,108,255,0.0
